STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
20,065,Kansas,Graham,2597,2327160854,0,0,0,0,,0,0,0,0,,0,0,0,0,,2597,100,2327160854,100,2.9
20,067,Kansas,Grant,7829,1488724794,6279,80.2,6260127,0.42,2597.8,0,0,0,0,,6279,80.2,6260127,0.42,2597.8,1550,19.8,1482464667,99.58,2.7
20,069,Kansas,Gray,6006,2250356182,0,0,0,0,,0,0,0,0,,0,0,0,0,,6006,100,2250356182,100,6.9
20,071,Kansas,Greeley,1247,2016176814,0,0,0,0,,0,0,0,0,,0,0,0,0,,1247,100,2016176814,100,1.6
20,073,Kansas,Greenwood,6689,2961132699,2591,38.74,3821324,0.13,1756.1,0,0,0,0,,2591,38.74,3821324,0.13,1756.1,4098,61.26,2957311375,99.87,3.6
20,075,Kansas,Hamilton,2690,2580942885,0,0,0,0,,0,0,0,0,,0,0,0,0,,2690,100,2580942885,100,2.7
20,077,Kansas,Harper,6034,2075276375,0,0,0,0,,0,0,0,0,,0,0,0,0,,6034,100,2075276375,100,7.5
20,079,Kansas,Harvey,34684,1397957172,23960,69.08,30886285,2.21,2009.2,0,0,0,0,,23960,69.08,30886285,2.21,2009.2,10724,30.92,1367070887,97.79,20.3
20,081,Kansas,Haskell,4256,1495773065,0,0,0,0,,0,0,0,0,,0,0,0,0,,4256,100,1495773065,100,7.4
20,083,Kansas,Hodgeman,1916,2227369168,0,0,0,0,,0,0,0,0,,0,0,0,0,,1916,100,2227369168,100,2.2
20,085,Kansas,Jackson,13462,1699594134,3245,24.1,3797957,0.22,2212.9,0,0,0,0,,3245,24.1,3797957,0.22,2212.9,10217,75.9,1695796177,99.78,15.6
20,087,Kansas,Jefferson,19126,1379359803,226,1.18,609252,0.04,960.7,226,1.18,609252,0.04,960.7,0,0,0,0,,18900,98.82,1378750551,99.96,35.5
20,089,Kansas,Jewell,3077,2356321996,0,0,0,0,,0,0,0,0,,0,0,0,0,,3077,100,2356321996,100,3.4
20,091,Kansas,Johnson,544179,1226034453,523317,96.17,529889421,43.22,2557.9,515552,94.74,514713568,41.98,2594.2,7765,1.43,15175853,1.24,1325.2,20862,3.83,696145032,56.78,77.6
20,093,Kansas,Kearny,3977,2254697108,0,0,0,0,,0,0,0,0,,0,0,0,0,,3977,100,2254697108,100,4.6
20,095,Kansas,Kingman,7858,2236099115,2978,37.9,4803245,0.21,1605.8,0,0,0,0,,2978,37.9,4803245,0.21,1605.8,4880,62.1,2231295870,99.79,5.7
