school_dist,county,school_dist_name,total_pop_est,child_pop_5-7,child_5-7_poverty_numb,child_5-7_poverty_percent
411,MARION,   Goessel ,1511,255,19,7.5
460,MARION,   Hesston ,4563,817,52,6.4
408,MARION,   Marion-Florence ,3324,556,67,12.1
373,MARION,   Newton ,22470,3976,419,10.5
398,MARION,   Peabody-Burns ,2270,396,47,11.9
206,MARION,   Remington-Whitewater ,3705,746,60,8
481,MARION,   Rural Vista ,2112,341,58,17
223,MARSHALL,   Barnes ,2412,388,52,13.4
384,MARSHALL,   Blue Valley ,1788,267,18,6.7
364,MARSHALL,   Marysville ,5152,880,108,12.3
115,MARSHALL,   Nemaha Central,3942,722,84,11.6
322,MARSHALL,   Onaga-Havensville-Wheaton ,2243,435,35,8
113,MARSHALL,   Prairie Hills,6678,1350,134,9.9
498,MARSHALL,   Valley Heights ,2168,385,49,12.7
380,MARSHALL,   Vermillion ,2698,470,41,8.7
220,MEADE,   Ashland ,1107,200,37,18.5
476,MEADE,   Copeland ,801,186,12,6.5
225,MEADE,   Fowler ,810,145,12,8.3
483,MEADE,   Kismet-Plains ,2886,691,120,17.4
226,MEADE,   Meade ,1977,357,40,11.2
371,MEADE,   Montezuma ,1553,304,42,13.8
229,MIAMI,   Blue Valley ,126202,26720,622,2.3
231,MIAMI,   Gardner Edgerton ,27698,5234,319,6.1
416,MIAMI,   Louisburg ,9258,1746,72,4.1
367,MIAMI,   Osawatomie ,6900,1249,194,15.5
368,MIAMI,   Paola ,12199,2173,154,7.1
362,MIAMI,   Prairie View ,5740,1007,123,12.2
230,MIAMI,   Spring Hill ,12758,2586,88,3.4
289,MIAMI,   Wellsville ,4788,886,46,5.2
273,MITCHELL,   Beloit ,4748,800,129,16.1
298,MITCHELL,   Lincoln ,2255,390,50,12.8
299,MITCHELL,   Sylvan Grove ,1579,235,43,18.3
272,MITCHELL,   Waconda ,2427,383,59,15.4
436,MONTGOMERY,   Caney Valley ,3904,749,115,15.4
447,MONTGOMERY,   Cherryvale ,3892,774,147,19
445,MONTGOMERY,   Coffeyville ,12527,2088,414,19.8
283,MONTGOMERY,   Elk Valley ,723,164,37,22.6
484,MONTGOMERY,   Fredonia ,4270,722,121,16.8
446,MONTGOMERY,   Independence ,12252,2212,418,18.9
461,MONTGOMERY,   Neodesha ,3238,629,98,15.6
397,MORRIS,   Centre ,1460,288,40,13.9
284,MORRIS,   Chase County ,2659,400,55,13.8
487,MORRIS,   Herington ,2820,455,90,19.8
417,MORRIS,   Morris County ,4898,703,105,14.9
481,MORRIS,   Rural Vista ,2112,341,58,17
218,MORTON,   Elkhart ,1978,355,43,12.1
217,MORTON,   Rolla ,609,121,25,20.7
415,NEMAHA,   Hiawatha ,5579,990,147,14.8
115,NEMAHA,   Nemaha Central,3942,722,84,11.6
335,NEMAHA,   North Jackson ,1849,326,43,13.2
322,NEMAHA,   Onaga-Havensville-Wheaton ,2243,435,35,8
113,NEMAHA,   Prairie Hills,6678,1350,134,9.9
380,NEMAHA,   Vermillion ,2698,470,41,8.7
413,NEOSHO,   Chanute Public Schools ,10635,1860,315,16.9
247,NEOSHO,   Cherokee ,4412,787,139,17.7
447,NEOSHO,   Cherryvale ,3892,774,147,19
505,NEOSHO,   Chetopa-St. Paul ,2470,448,85,19
101,NEOSHO,   Erie ,3516,642,164,25.5
248,NEOSHO,   Girard ,5438,1039,180,17.3
395,NESS,   LaCrosse ,2109,311,50,16.1
303,NESS,   Ness City ,1605,271,25,9.2
106,NESS,   Western Plains ,1170,174,23,13.2
326,NORTON,   Logan ,965,189,24,12.7
212,NORTON,   Northern Valley ,839,147,25,17
211,NORTON,   Norton Community Schools ,4728,629,76,12.1
294,NORTON,   Oberlin ,2677,388,85,21.9
437,OSAGE,   Auburn-Washburn ,33981,6271,386,6.2
454,OSAGE,   Burlingame Public Schools ,1602,306,51,16.7
243,OSAGE,   Lebo-Waverly ,2636,444,36,8.1
421,OSAGE,   Lyndon ,2556,472,53,11.2
456,OSAGE,   Marais des Cygnes Valley ,1514,285,34,11.9
251,OSAGE,   North Lyon County ,3365,605,62,10.2
420,OSAGE,   Osage City ,3679,655,118,18
434,OSAGE,   Santa Fe Trail ,6121,1030,152,14.8
450,OSAGE,   Shawnee Heights ,18981,3548,197,5.6
330,OSAGE,   Wabaunsee East ,3139,514,39,7.6
287,OSAGE,   West Franklin ,4819,820,100,12.2
392,OSBORNE,   Osborne County ,1945,302,66,21.9
399,OSBORNE,   Paradise ,677,123,25,20.3
237,OSBORNE,   Smith Center ,2707,379,59,15.6
271,OSBORNE,   Stockton ,1862,274,40,14.6
299,OSBORNE,   Sylvan Grove ,1579,235,43,18.3
272,OSBORNE,   Waconda ,2427,383,59,15.4
273,OTTAWA,   Beloit ,4748,800,129,16.1
379,OTTAWA,   Clay Center ,7699,1370,190,13.9
239,OTTAWA,   North Ottawa County ,3252,546,62,11.4
393,OTTAWA,   Solomon ,1921,352,31,8.8
334,OTTAWA,   Southern Cloud ,1375,249,44,17.7
240,OTTAWA,   Twin Valley ,2432,437,49,11.2
495,PAWNEE,   Fort Larned ,6219,749,97,13
351,PAWNEE,   Macksville ,1261,250,47,18.8
496,PAWNEE,   Pawnee Heights ,596,76,9,11.8
326,PHILLIPS,   Logan ,965,189,24,12.7
212,PHILLIPS,   Northern Valley ,839,147,25,17
325,PHILLIPS,   Phillipsburg ,3327,542,76,14
110,PHILLIPS,   Thunder Ridge ,1566,254,41,16.1
384,POTTAWATOMIE,   Blue Valley (Randolph-Olsburg),1788,267,18,6.7
321,POTTAWATOMIE,   Kaw Valley ,8199,2179,186,8.5
383,POTTAWATOMIE,   Manhattan ,63014,6400,770,12
