id_ur,county_desc,u_r_code,avg_zero,avg_one,avg_two,avg_three,perc_zero,perc_one,perc_two,perc_three,avg_speed,max_speed
20029U,Cloud,U,1742.46,842.145,609.419,1308.98,0.0258427691459656,0.0534705924987793,0.0738899898529053,0.0344009590148926,9.8,25
20031R,Coffey,R,2320.43,829.129,645.565,1999.88,0.0249738359451294,0.0698925971984863,0.08976637840271,0.0289767742156982,9.8,25
20031U,Coffey,U,623.177,563.243,265.338,911.243,0.0379186081886292,0.041953501701355,0.0890562725067139,0.0259316229820251,9.8,25
20033R,Comanche,R,886.961,192.145,255.429,355.465,0.0190538167953491,0.0879543495178223,0.0661633110046387,0.0475433778762817,9.8,25
20035R,Cowley,R,4876.87,1606.49,1474.73,3354.9,0.0231972408294678,0.0704204130172729,0.0767123413085938,0.0337208008766174,9.8,25
20035U,Cowley,U,7223.02,5266.03,2953.49,7872.46,0.0322787499427795,0.0442743253707886,0.0789405727386475,0.0296158933639526,9.8,25
20037R,Crawford,R,3693.45,3712.87,1882.91,4415.77,0.037106192111969,0.0369121837615967,0.0727862119674683,0.0310365009307861,9.8,25
20037U,Crawford,U,4363.61,7530.47,4636.29,8494.63,0.0573493337631226,0.03323166847229,0.0539763450622559,0.0294597721099854,129.854545454545,1000
20039R,Decatur,R,1173.49,528.735,387.955,685.823,0.0236559820175171,0.052502703666687,0.0715547561645508,0.0404769086837769,9.8,25
20041R,Dickinson,R,4889.28,2726.2,1539.73,2980.78,0.0248216342926025,0.0445161867141724,0.0788188886642456,0.040714111328125,9.8,25
20041U,Dickinson,U,2600.98,1311.41,804.327,1413.28,0.0235680437088013,0.0467435693740845,0.0762128257751465,0.043374171257019,9.8,25
20043R,Doniphan,R,1029.85,476.2,288.19,895.762,0.0261203598976135,0.0564889240264893,0.0933410358428955,0.030030300617218,7.23333333333333,25
20043U,Doniphan,U,841.247,349.646,182.812,742.295,0.0251531291007996,0.060518307685852,0.115747451782227,0.0285061955451965,7.62857142857143,25
